Publisher ID,Publisher Name,Clicks,Total Value,Total Commission
1119187,Astronomic Effect,963,0.0,0.0
882535,Devash s.r.o.,897,0.0,0.0
1536727,Martinez Ads LTD,761,202.24,0.0
1320769,Zelda Digital Marketing B.V.,667,0.0,0.0
101248,TakeAds GmbH,475,0.0,0.0
1776174,Gabiram Media Ltd,452,0.0,0.0
685769,Linkbux,382,0.0,0.0
1219728,Smart & Successful S.R.L.,332,0.0,0.0
1536859,Aragon Media Tech ltd,236,0.0,0.0
1648481,Tamarin Capital Limited,33,0.0,0.0
78888,Skimlinks,15,0.0,0.0
301377,Capital One,14,253.77,0.0
85386,Sovrn Commerce,6,0.0,0.0
789945,FatCoupon Technology Ltd,3,0.0,0.0
318631,Shoplooks.com,2,0.0,0.0
1454694,Delupe Bing Shopping,2,0.0,0.0
1012179,LoveToKnow Media,1,0.0,0.0
416811,LinkGains HK Limited,1,0.0,0.0
196639,GoCashBack.com,1,0.0,0.0
1650135,David Curtis,1,0.0,0.0
1667735,Rebate Rumble Inc.,1,0.0,0.0
1528223,SHOPTASTIC PTE. LTD.,1,0.0,0.0
313605,Brandreward - Incentivized,1,0.0,0.0
1465244,SwingU,1,0.0,0.0
1613500,Linkbux Content,1,0.0,0.0
249371,digidip UK and USA - Incentivized,1,0.0,0.0
264419,"FlexOffers.com, LLC",1,0.0,0.0
194605,Deal Savings LLC,1,0.0,0.0
248741,Klarna Bank AB UK Branch,1,0.0,0.0
969833,Partnermatic,1,0.0,0.0
1001765,Affinity Global Inc.,1,0.0,0.0
