Publisher ID,Publisher Name,Clicks,# of Sales,Total Value,Conv. Rate
760693,MyGolfSpy,3740,28,$1421.59,0.75%
78888,Skimlinks,759,1,$129.99,0.13%
796279,SimplyCodes,336,47,$22911.48,13.99%
214459,Honey Science Corporation,256,59,$21532.47,23.05%
1012179,LoveToKnow Media,137,0,$0.0,0.00%
177945,Demand.io,127,12,$10410.94,9.45%
81392,RMN WhaleShark Media,105,3,$619.97,2.86%
789945,FatCoupon Technology Ltd,98,3,$1639.95,3.06%
305263,"Prodege LLC – CouponCause, ReviewsPlus",88,1,$1684.24,1.14%
1657451,US Sports Camps,84,0,$0.0,0.00%
251239,Linkhaitao.com,65,0,$0.0,0.00%
85386,Sovrn Commerce,59,0,$0.0,0.00%
696205,Klarna,54,5,$3839.81,9.26%
1082609,My Golf Saver,50,0,$0.0,0.00%
1542841,Plugged In Golf,48,0,$0.0,0.00%
1624797,averee_dovsek,48,0,$0.0,0.00%
922583,TakeAds GmbH - Incentive,42,3,$1169.93,7.14%
101248,TakeAds GmbH,42,1,$849.99,2.38%
407399,"Wildfire Systems, Inc.",31,2,$406.69,6.45%
181013,Skimlinks Coupon Deal sites,31,0,$0.0,0.00%
1091347,Cartlinks.com,30,0,$0.0,0.00%
208997,Karma Shopping LTD,27,4,$1268.87,14.81%
1137879,LinkPrefer,26,0,$0.0,0.00%
1702645,tinkergolfman,25,0,$0.0,0.00%
162254,DontPayFull.com,24,5,$1244.91,20.83%
311227,MK INFOTECH PTE. LTD.,23,0,$0.0,0.00%
1465244,SwingU,21,0,$0.0,0.00%
685769,Linkbux,20,1,$39.99,5.00%
318631,Shoplooks.com,19,2,$1571.33,10.53%
779635,FindMyRacket,18,0,$0.0,0.00%
322883,Yazing,18,0,$0.0,0.00%
1642003,miss.kirap,17,0,$0.0,0.00%
832743,Redbrain Corporation,16,0,$0.0,0.00%
1858990,Takeads FZ-LLC,15,0,$0.0,0.00%
1052075,Joko,15,0,$0.0,0.00%
1560630,IndependentGolfReviews.com,15,0,$0.0,0.00%
969833,Partnermatic,15,0,$0.0,0.00%
707279,Circle GmbH,14,1,$643.98,7.14%
1528223,SHOPTASTIC PTE. LTD.,14,1,$224.99,7.14%
13430,Awin Broken Links Account,11,0,$0.0,0.00%
467079,Forbes Media,11,0,$0.0,0.00%
504061,Coupert,10,0,$0.0,0.00%
313605,Brandreward - Incentivized,9,0,$0.0,0.00%
194605,Deal Savings LLC,6,0,$0.0,0.00%
1454694,Delupe Bing Shopping,6,0,$0.0,0.00%
1035097,Smart Influence GmbH,6,0,$0.0,0.00%
1694421,PIE.org (The People's Internet Experiment Inc.),5,0,$0.0,0.00%
1877760,TennisInsider,4,0,$0.0,0.00%
1533551,MEGolf Ventures LLC,4,0,$0.0,0.00%
509365,surfmyads.com,4,1,$76.46,25.00%
196639,GoCashBack.com,4,0,$0.0,0.00%
416811,LinkGains HK Limited,4,1,$169.99,25.00%
248741,Klarna Bank AB UK Branch,4,0,$0.0,0.00%
1613500,Linkbux Content,4,0,$0.0,0.00%
249371,digidip UK and USA - Incentivized,4,0,$0.0,0.00%
960967,nisa associates,3,0,$0.0,0.00%
822461,MaxRebates,3,0,$0.0,0.00%
1018583,Smart Influence GmbH,3,0,$0.0,0.00%
308293,LinkGains HK Limited,2,0,$0.0,0.00%
767303,Tribe Solutions LLC,2,0,$0.0,0.00%
73286,"MNP Enterprises, LLC",2,0,$0.0,0.00%
166580,Slickdeals,2,0,$0.0,0.00%
1892928,bluesdaddy_golf,2,0,$0.0,0.00%
45628,Example Publisher,2,0,$0.0,0.00%
1647359,American Sports Fans Association LLC,1,0,$0.0,0.00%
1576198,"Button, Inc.",1,0,$0.0,0.00%
1393937,"Rebates.com, LLC",1,0,$0.0,0.00%
111,Awin Test Publisher - do not suspend,1,0,$0.0,0.00%
271453,YIELDKIT GmbH - Incentive Sites,1,0,$0.0,0.00%
1559536,DONTPAYFULL SRL,1,0,$0.0,0.00%
1852528,tenere_team,1,0,$0.0,0.00%
874195,Circle GmbH,1,0,$0.0,0.00%
518347,Loyalize,1,0,$0.0,0.00%
301377,Capital One,1,0,$0.0,0.00%
349255,"Extrabux, Inc.",1,0,$0.0,0.00%
1350199,The Youth Sports Hub,1,0,$0.0,0.00%
1733931,FanCapitalize,1,0,$0.0,0.00%
1113648,Conversion Cowboys GmbH,1,0,$0.0,0.00%
96290,Love Savings Group,1,0,$0.0,0.00%
1534241,IN Technologie Inc,1,0,$0.0,0.00%

Merchant report for dunlop from 2025-04-01 to 2025-04-25
