Publisher ID,Publisher Name,Clicks,# of Sales,Total Value,Conv. Rate
1152035,SuperAds,95278,43,$8818.14,0.05%
1119187,Astronomic Effect,72341,26,$6129.42,0.04%
882535,Devash s.r.o.,24006,16,$3736.03,0.07%
1536859,Aragon Media Tech ltd,11516,13,$3301.85,0.11%
1536727,Martinez Ads LTD,11233,7,$1248.79,0.06%
1320769,Zelda Digital Marketing B.V.,9679,1,$330.63,0.01%
1219728,Smart & Successful S.R.L.,9567,9,$2256.97,0.09%
685769,Linkbux,8104,5,$958.88,0.06%
1776174,Gabiram Media Ltd,7149,3,$333.29,0.04%
1004849,Rewardoo,6670,2,$346.85,0.03%
101248,TakeAds GmbH,1243,0,$0.0,0.00%
301377,Capital One,1035,146,$32162.06,14.11%
78888,Skimlinks,776,11,$2971.63,1.42%
1648481,Tamarin Capital Limited,538,1,$373.43,0.19%
1528223,SHOPTASTIC PTE. LTD.,382,0,$0.0,0.00%
85386,Sovrn Commerce,317,2,$380.1,0.63%
214459,Honey Science Corporation,179,27,$6732.37,15.08%
789945,FatCoupon Technology Ltd,147,5,$782.71,3.40%
1454694,Delupe Bing Shopping,111,2,$401.67,1.80%
233637,Affinity Global Inc.,63,0,$0.0,0.00%
249371,digidip UK and USA - Incentivized,53,0,$0.0,0.00%
181013,Skimlinks Coupon Deal sites,52,0,$0.0,0.00%
1800170,Mr. Link AI Technologies LLC FZ,48,0,$0.0,0.00%
1012179,LoveToKnow Media,42,1,$322.18,2.38%
194605,Deal Savings LLC,34,0,$0.0,0.00%
416811,LinkGains HK Limited,31,0,$0.0,0.00%
318631,Shoplooks.com,30,1,$47.0,3.33%
1465244,SwingU,30,1,$214.92,3.33%
1001765,Affinity Global Inc.,29,0,$0.0,0.00%
177945,Demand.io,28,0,$0.0,0.00%
1640367,Smart Media Buying LLC,27,0,$0.0,0.00%
1137879,LinkPrefer,26,0,$0.0,0.00%
1858990,Takeads FZ-LLC,26,0,$0.0,0.00%
196639,GoCashBack.com,25,0,$0.0,0.00%
311227,MK INFOTECH PTE. LTD.,23,0,$0.0,0.00%
449857,"Bidwise, Inc.",19,1,$50.76,5.26%
422227,Kognitive Marketing LTD,16,0,$0.0,0.00%
969833,Partnermatic,15,0,$0.0,0.00%
248741,Klarna Bank AB UK Branch,14,2,$624.05,14.29%
412875,advanced store (global) - Smart Advertising,14,0,$0.0,0.00%
509365,surfmyads.com,12,0,$0.0,0.00%
313605,Brandreward - Incentivized,12,1,$51.18,8.33%
162254,DontPayFull.com,11,1,$170.13,9.09%
264419,"FlexOffers.com, LLC",10,0,$0.0,0.00%
743363,OPTIMHUB,9,0,$0.0,0.00%
504061,Coupert,6,0,$0.0,0.00%
1848300,digidip GmbH - shopping extensions,6,0,$0.0,0.00%
832743,Redbrain Corporation,6,0,$0.0,0.00%
271453,YIELDKIT GmbH - Incentive Sites,6,0,$0.0,0.00%
308293,LinkGains HK Limited,5,0,$0.0,0.00%
1542841,Plugged In Golf,5,0,$0.0,0.00%
1862912,FlexOffers - Software Extension Traffic,4,0,$0.0,0.00%
1613500,Linkbux Content,4,0,$0.0,0.00%
960967,nisa associates,3,0,$0.0,0.00%
518347,Loyalize,3,0,$0.0,0.00%
208997,Karma Shopping LTD,3,0,$0.0,0.00%
45628,Example Publisher,3,0,$0.0,0.00%
707279,Circle GmbH,2,0,$0.0,0.00%
322883,Yazing,2,0,$0.0,0.00%
1709249,VerifiedCoupon US,2,0,$0.0,0.00%
154750,digidip UK and USA - Content,2,0,$0.0,0.00%
1667735,Rebate Rumble Inc.,2,0,$0.0,0.00%
835611,CouponWCode,2,0,$0.0,0.00%
1569824,OCEANSHINY LTD,2,0,$0.0,0.00%
1852528,tenere_team,2,0,$0.0,0.00%
73286,"MNP Enterprises, LLC",1,0,$0.0,0.00%
171741,RANK,1,0,$0.0,0.00%
1300061,EDLOOK LTD,1,0,$0.0,0.00%
1650135,David Curtis,1,0,$0.0,0.00%
1694421,PIE.org (The People's Internet Experiment Inc.),1,0,$0.0,0.00%
1168406,UDANMASINDO CV,1,0,$0.0,0.00%
1393937,"Rebates.com, LLC",1,0,$0.0,0.00%
632550,Refermate LLC,1,0,$0.0,0.00%
13430,Awin Broken Links Account,1,0,$0.0,0.00%
1197794,Diginlink Sub Network,1,0,$0.0,0.00%

Merchant report for pgz from 2025-04-01 to 2025-04-25
